trial,RT_s
0,0.5666666666666667
1,0.62
2,0.64
3,0.38666666666666666
4,0.5533333333333333
5,0.4166666666666667
6,0.43333333333333335
7,0.42
8,1.1
9,0.5033333333333333
10,0.38666666666666666
11,0.4866666666666667
12,0.52
13,0.4033333333333333
14,0.37
15,0.5833333333333334
16,0.54
17,0.42333333333333334
18,0.42
19,0.8233333333333334
20,0.49
21,0.4166666666666667
22,0.47
23,0.38666666666666666
24,0.35
25,0.44
26,0.57
27,0.85
28,0.6866666666666666
29,0.3333333333333333
30,0.6
31,0.4
32,0.38666666666666666
33,0.37
34,0.87
35,0.6333333333333333
36,1.4
37,0.8333333333333334
38,0.7366666666666667
39,1.4333333333333333
40,1.15
41,0.7366666666666667
42,0.8666666666666667
43,0.4666666666666667
44,1.3
45,0.45
46,1.2833333333333334
47,0.8233333333333334
48,0.8
49,0.5033333333333333
50,0.6366666666666667
51,1.25
52,0.5033333333333333
53,0.4166666666666667
54,0.43333333333333335
55,0.95
56,0.48333333333333334
57,1.47
58,0.65
59,1.22
60,0.65
61,0.7333333333333333
62,0.5666666666666667
63,0.5
64,0.4033333333333333
65,1.4133333333333333
66,0.57
67,0.42
68,0.8666666666666667
69,0.95
70,0.5166666666666667
71,1.25
72,0.35333333333333333
73,0.4
74,1.2666666666666666
75,0.48333333333333334
76,0.8266666666666667
77,0.5833333333333334
